index,img_path,img_pathE,img_pathQ,predEQ,label,embedE,embedQ
0_1,../new_data/style:america/1.jpg,../new_data/cut_style:america/0_1_E_.jpg,../new_data/cut_style:america/0_1_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.00479249],1,[0.         0.         0.         ... 0.         0.         0.00217712],[0.06672762 0.         0.06931917 ... 0.         0.         0.00479249]
0_3,../new_data/style:america/3.jpg,../new_data/cut_style:america/0_3_E_.jpg,../new_data/cut_style:america/0_3_Q_.jpg,[0.         0.         0.00711982 ... 0.00472573 0.         0.04280581],1,[0.         0.         0.00711982 ... 0.         0.         0.0697304 ],[0.12396406 0.         0.01455844 ... 0.00472573 0.         0.04280581]
0_4,../new_data/style:america/4.jpg,../new_data/cut_style:america/0_4_E_.jpg,../new_data/cut_style:america/0_4_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.04260153],1,[0.         0.         0.         ... 0.19579023 0.         0.01443347],[0.06421464 0.         0.1558264  ... 0.         0.         0.04260153]
0_7,../new_data/style:america/7.jpg,../new_data/cut_style:america/0_7_E_.jpg,../new_data/cut_style:america/0_7_Q_.jpg,[0.         0.00568964 0.         ... 0.         0.         0.06612688],1,[0.         0.00568964 0.         ... 0.         0.         0.        ],[0.01846612 0.         0.82570106 ... 0.         0.         0.06612688]
0_8,../new_data/style:america/8.jpg,../new_data/cut_style:america/0_8_E_.jpg,../new_data/cut_style:america/0_8_Q_.jpg,[0.         0.         0.27391717 ... 0.0052652  0.         0.06523348],1,[0.         0.         0.27391717 ... 0.         0.         1.1731249 ],[0.20184408 0.         0.01747861 ... 0.0052652  0.         0.06523348]
0_9,../new_data/style:america/9.jpg,../new_data/cut_style:america/0_9_E_.jpg,../new_data/cut_style:america/0_9_Q_.jpg,[0.01547991 0.         0.01600275 ... 0.         0.         0.1895481 ],1,[0.01547991 0.         0.01600275 ... 0.0068685  0.         0.        ],[0.         0.         0.77529657 ... 0.         0.         0.1895481 ]
0_10,../new_data/style:america/10.jpg,../new_data/cut_style:america/0_10_E_.jpg,../new_data/cut_style:america/0_10_Q_.jpg,[0.         0.         0.         ... 0.         0.01263733 0.04022324],1,[0.         0.         0.         ... 0.00862112 0.         0.        ],[0.00524835 0.         0.         ... 0.         0.01263733 0.04022324]
0_12,../new_data/style:america/12.jpg,../new_data/cut_style:america/0_12_E_.jpg,../new_data/cut_style:america/0_12_Q_.jpg,[0.         0.         0.         ... 0.         0.01892193 0.07283173],1,[0.         0.         0.         ... 0.         0.         0.03768936],[0.01271804 0.         0.07403067 ... 0.         0.01892193 0.07283173]
0_13,../new_data/style:america/13.jpg,../new_data/cut_style:america/0_13_E_.jpg,../new_data/cut_style:america/0_13_Q_.jpg,[0.         0.         0.00470066 ... 0.         0.02013384 0.16038418],1,[0.         0.         0.00470066 ... 0.         0.12943166 0.        ],[0.23861836 0.         0.21166423 ... 0.         0.02013384 0.16038418]
0_15,../new_data/style:america/15.jpg,../new_data/cut_style:america/0_15_E_.jpg,../new_data/cut_style:america/0_15_Q_.jpg,[0.         0.         0.         ... 0.03232363 0.10202295 0.03380154],1,[0. 0. 0. ... 0. 0. 0.],[0.06876932 0.         0.35349327 ... 0.03232363 0.10202295 0.03380154]
