idxE,idxQ,img_pathE,img_pathQ,predEQ,label,embedE,embedQ
13_1077_E_,13_1077_Q_,../new_data/cut_ugly_clothes_pair/13_1077_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1077_Q_.jpg,[0.         0.01972794 0.03980067 ... 0.0327048  0.09812313 0.00348387],0,[0.         0.01972794 0.03980067 ... 0.         0.         0.        ],[0.10992803 0.         0.6290255  ... 0.0327048  0.09812313 0.00348387]
1_307_E_,1_307_Q_,../new_data/cut_style:japan/1_307_E_.jpg,../new_data/cut_style:japan/1_307_Q_.jpg,[0.         0.         0.         ... 0.00212283 0.         0.00489993],1,[0.         0.         0.         ... 0.24678454 0.         0.00214398],[0.06652931 0.         0.5049779  ... 0.00212283 0.         0.00489993]
0_919_E_,0_919_Q_,../new_data/cut_style:america/0_919_E_.jpg,../new_data/cut_style:america/0_919_Q_.jpg,[0.         0.         0.04334623 ... 0.         0.01305645 0.01289916],1,[0.         0.         0.04334623 ... 0.         0.16641758 0.24733974],[0.         0.01349713 0.17354701 ... 0.         0.01305645 0.01289916]
13_1120_E_,13_1120_Q_,../new_data/cut_ugly_clothes_pair/13_1120_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1120_Q_.jpg,[0.         0.         0.0125457  ... 0.         0.08499593 0.0617769 ],0,[0.         0.         0.0125457  ... 0.         0.         0.03301988],[0.         0.         0.07405549 ... 0.         0.08499593 0.0617769 ]
13_1143_E_,13_1143_Q_,../new_data/cut_ugly_clothes_pair/13_1143_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1143_Q_.jpg,[0.         0.07626437 0.32369292 ... 0.         0.03446224 0.0014974 ],0,[0.         0.07626437 0.32369292 ... 0.         0.01016239 0.27698484],[0.03174762 0.         0.         ... 0.         0.03446224 0.0014974 ]
13_1576_E_,13_1576_Q_,../new_data/cut_ugly_clothes_pair/13_1576_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1576_Q_.jpg,[0.         0.         0.01187877 ... 0.         0.         0.05577412],0,[0.         0.         0.01187877 ... 0.         0.         0.31510222],[0.         0.01810429 0.00263321 ... 0.         0.         0.05577412]
1_421_E_,1_421_Q_,../new_data/cut_style:japan/1_421_E_.jpg,../new_data/cut_style:japan/1_421_Q_.jpg,"[8.9029200e-02 0.0000000e+00 8.6447068e-02 ... 0.0000000e+00 1.2459646e-02
 5.4645538e-05]",1,[0.0890292  0.         0.08644707 ... 0.         0.01900219 0.35803828],"[1.2204703e-01 0.0000000e+00 1.7808944e-01 ... 0.0000000e+00 1.2459646e-02
 5.4645538e-05]"
1_259_E_,1_259_Q_,../new_data/cut_style:japan/1_259_E_.jpg,../new_data/cut_style:japan/1_259_Q_.jpg,[0.         0.         0.20494696 ... 0.         0.00613037 0.00681218],1,[0.         0.         0.20494696 ... 0.00238487 0.02816024 0.01253113],[0.04669533 0.         0.14713103 ... 0.         0.00613037 0.00681218]
0_152_E_,0_152_Q_,../new_data/cut_style:america/0_152_E_.jpg,../new_data/cut_style:america/0_152_Q_.jpg,[0.06357811 0.         0.02848149 ... 0.         0.04101782 0.06668249],1,[0.06357811 0.         0.02848149 ... 0.03366256 0.00036769 0.02363271],[0.04519019 0.         0.03529814 ... 0.         0.04101782 0.06668249]
0_294_E_,0_294_Q_,../new_data/cut_style:america/0_294_E_.jpg,../new_data/cut_style:america/0_294_Q_.jpg,[0.         0.01215584 0.33181956 ... 0.         0.         0.01424892],1,[0.         0.01215584 0.33181956 ... 0.         0.027752   0.5783564 ],[0.4139415  0.         0.00901099 ... 0.         0.         0.01424892]
1_759_E_,1_759_Q_,../new_data/cut_style:japan/1_759_E_.jpg,../new_data/cut_style:japan/1_759_Q_.jpg,[0.03995267 0.         0.         ... 0.         0.         0.01264597],1,[0.03995267 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.16149555 ... 0.         0.         0.01264597]
1_25_E_,1_25_Q_,../new_data/cut_style:japan/1_25_E_.jpg,../new_data/cut_style:japan/1_25_Q_.jpg,[0.         0.00937794 0.0365991  ... 0.00878546 0.         0.        ],1,[0.         0.00937794 0.0365991  ... 0.         0.         0.024936  ],[0.07112237 0.         0.17566232 ... 0.00878546 0.         0.        ]
13_1122_E_,13_1122_Q_,../new_data/cut_ugly_clothes_pair/13_1122_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1122_Q_.jpg,[0.01143697 0.         0.08056176 ... 0.         0.         0.05805263],0,[0.01143697 0.         0.08056176 ... 0.         0.         0.00283673],[0.05887191 0.05329873 0.03270405 ... 0.         0.         0.05805263]
0_710_E_,0_710_Q_,../new_data/cut_style:america/0_710_E_.jpg,../new_data/cut_style:america/0_710_Q_.jpg,[0.         0.         0.15447196 ... 0.         0.00344595 0.00441531],1,[0.         0.         0.15447196 ... 0.18232283 0.05909709 0.00266189],[0.00754685 0.         0.07533804 ... 0.         0.00344595 0.00441531]
2_510_E_,2_510_Q_,../new_data/cut_style:korea/2_510_E_.jpg,../new_data/cut_style:korea/2_510_Q_.jpg,[0.         0.02093274 0.07011354 ... 0.         0.         0.03478558],1,[0.         0.02093274 0.07011354 ... 0.         0.06088841 0.27526915],[0.11719041 0.         0.11526462 ... 0.         0.         0.03478558]
0_30_E_,0_30_Q_,../new_data/cut_style:america/0_30_E_.jpg,../new_data/cut_style:america/0_30_Q_.jpg,[0.03545894 0.         0.01219574 ... 0.01898691 0.         0.00119222],1,[0.03545894 0.         0.01219574 ... 0.14502634 0.         0.01619638],[0.04882144 0.00154987 0.06936908 ... 0.01898691 0.         0.00119222]
1_86_E_,1_86_Q_,../new_data/cut_style:japan/1_86_E_.jpg,../new_data/cut_style:japan/1_86_Q_.jpg,[0.         0.         0.07107978 ... 0.         0.         0.        ],1,[0.         0.         0.07107978 ... 0.04096527 0.01073483 0.0123997 ],[0.27019504 0.         0.00356978 ... 0.         0.         0.        ]
