idxE,idxQ,img_pathE,img_pathQ
0_579_E_,1_997_Q_,../new_data/cut_style:america/0_579_E_.jpg,../new_data/cut_style:japan/1_997_Q_.jpg
0_79_E_,2_87_Q_,../new_data/cut_style:america/0_79_E_.jpg,../new_data/cut_style:korea/2_87_Q_.jpg
0_774_E_,1_131_Q_,../new_data/cut_style:america/0_774_E_.jpg,../new_data/cut_style:japan/1_131_Q_.jpg
0_435_E_,2_852_Q_,../new_data/cut_style:america/0_435_E_.jpg,../new_data/cut_style:korea/2_852_Q_.jpg
0_1043_E_,1_320_Q_,../new_data/cut_style:america/0_1043_E_.jpg,../new_data/cut_style:japan/1_320_Q_.jpg
0_484_E_,2_475_Q_,../new_data/cut_style:america/0_484_E_.jpg,../new_data/cut_style:korea/2_475_Q_.jpg
0_289_E_,1_555_Q_,../new_data/cut_style:america/0_289_E_.jpg,../new_data/cut_style:japan/1_555_Q_.jpg
0_632_E_,2_210_Q_,../new_data/cut_style:america/0_632_E_.jpg,../new_data/cut_style:korea/2_210_Q_.jpg
0_770_E_,1_617_Q_,../new_data/cut_style:america/0_770_E_.jpg,../new_data/cut_style:japan/1_617_Q_.jpg
0_8_E_,2_797_Q_,../new_data/cut_style:america/0_8_E_.jpg,../new_data/cut_style:korea/2_797_Q_.jpg
0_1035_E_,1_515_Q_,../new_data/cut_style:america/0_1035_E_.jpg,../new_data/cut_style:japan/1_515_Q_.jpg
0_62_E_,2_64_Q_,../new_data/cut_style:america/0_62_E_.jpg,../new_data/cut_style:korea/2_64_Q_.jpg
0_499_E_,1_381_Q_,../new_data/cut_style:america/0_499_E_.jpg,../new_data/cut_style:japan/1_381_Q_.jpg
0_560_E_,2_303_Q_,../new_data/cut_style:america/0_560_E_.jpg,../new_data/cut_style:korea/2_303_Q_.jpg
0_958_E_,1_877_Q_,../new_data/cut_style:america/0_958_E_.jpg,../new_data/cut_style:japan/1_877_Q_.jpg
0_929_E_,2_75_Q_,../new_data/cut_style:america/0_929_E_.jpg,../new_data/cut_style:korea/2_75_Q_.jpg
0_275_E_,1_732_Q_,../new_data/cut_style:america/0_275_E_.jpg,../new_data/cut_style:japan/1_732_Q_.jpg
0_235_E_,2_766_Q_,../new_data/cut_style:america/0_235_E_.jpg,../new_data/cut_style:korea/2_766_Q_.jpg
0_96_E_,1_462_Q_,../new_data/cut_style:america/0_96_E_.jpg,../new_data/cut_style:japan/1_462_Q_.jpg
0_989_E_,2_274_Q_,../new_data/cut_style:america/0_989_E_.jpg,../new_data/cut_style:korea/2_274_Q_.jpg
0_851_E_,1_779_Q_,../new_data/cut_style:america/0_851_E_.jpg,../new_data/cut_style:japan/1_779_Q_.jpg
0_518_E_,2_201_Q_,../new_data/cut_style:america/0_518_E_.jpg,../new_data/cut_style:korea/2_201_Q_.jpg
0_171_E_,1_558_Q_,../new_data/cut_style:america/0_171_E_.jpg,../new_data/cut_style:japan/1_558_Q_.jpg
0_756_E_,2_482_Q_,../new_data/cut_style:america/0_756_E_.jpg,../new_data/cut_style:korea/2_482_Q_.jpg
0_642_E_,1_633_Q_,../new_data/cut_style:america/0_642_E_.jpg,../new_data/cut_style:japan/1_633_Q_.jpg
