index,img_path,img_pathE,img_pathQ
0_1,../new_data/style:america/1.jpg,../new_data/cut_style:america/0_1_E_.jpg,../new_data/cut_style:america/0_1_Q_.jpg
0_3,../new_data/style:america/3.jpg,../new_data/cut_style:america/0_3_E_.jpg,../new_data/cut_style:america/0_3_Q_.jpg
0_4,../new_data/style:america/4.jpg,../new_data/cut_style:america/0_4_E_.jpg,../new_data/cut_style:america/0_4_Q_.jpg
0_7,../new_data/style:america/7.jpg,../new_data/cut_style:america/0_7_E_.jpg,../new_data/cut_style:america/0_7_Q_.jpg
0_8,../new_data/style:america/8.jpg,../new_data/cut_style:america/0_8_E_.jpg,../new_data/cut_style:america/0_8_Q_.jpg
0_9,../new_data/style:america/9.jpg,../new_data/cut_style:america/0_9_E_.jpg,../new_data/cut_style:america/0_9_Q_.jpg
0_10,../new_data/style:america/10.jpg,../new_data/cut_style:america/0_10_E_.jpg,../new_data/cut_style:america/0_10_Q_.jpg
0_12,../new_data/style:america/12.jpg,../new_data/cut_style:america/0_12_E_.jpg,../new_data/cut_style:america/0_12_Q_.jpg
0_13,../new_data/style:america/13.jpg,../new_data/cut_style:america/0_13_E_.jpg,../new_data/cut_style:america/0_13_Q_.jpg
0_15,../new_data/style:america/15.jpg,../new_data/cut_style:america/0_15_E_.jpg,../new_data/cut_style:america/0_15_Q_.jpg
0_16,../new_data/style:america/16.jpg,../new_data/cut_style:america/0_16_E_.jpg,../new_data/cut_style:america/0_16_Q_.jpg
0_20,../new_data/style:america/20.jpg,../new_data/cut_style:america/0_20_E_.jpg,../new_data/cut_style:america/0_20_Q_.jpg
0_22,../new_data/style:america/22.jpg,../new_data/cut_style:america/0_22_E_.jpg,../new_data/cut_style:america/0_22_Q_.jpg
0_23,../new_data/style:america/23.jpg,../new_data/cut_style:america/0_23_E_.jpg,../new_data/cut_style:america/0_23_Q_.jpg
0_24,../new_data/style:america/24.jpg,../new_data/cut_style:america/0_24_E_.jpg,../new_data/cut_style:america/0_24_Q_.jpg
0_26,../new_data/style:america/26.jpg,../new_data/cut_style:america/0_26_E_.jpg,../new_data/cut_style:america/0_26_Q_.jpg
0_27,../new_data/style:america/27.jpg,../new_data/cut_style:america/0_27_E_.jpg,../new_data/cut_style:america/0_27_Q_.jpg
0_30,../new_data/style:america/30.jpg,../new_data/cut_style:america/0_30_E_.jpg,../new_data/cut_style:america/0_30_Q_.jpg
0_34,../new_data/style:america/34.jpg,../new_data/cut_style:america/0_34_E_.jpg,../new_data/cut_style:america/0_34_Q_.jpg
0_36,../new_data/style:america/36.jpg,../new_data/cut_style:america/0_36_E_.jpg,../new_data/cut_style:america/0_36_Q_.jpg
0_39,../new_data/style:america/39.jpg,../new_data/cut_style:america/0_39_E_.jpg,../new_data/cut_style:america/0_39_Q_.jpg
0_40,../new_data/style:america/40.jpg,../new_data/cut_style:america/0_40_E_.jpg,../new_data/cut_style:america/0_40_Q_.jpg
0_41,../new_data/style:america/41.jpg,../new_data/cut_style:america/0_41_E_.jpg,../new_data/cut_style:america/0_41_Q_.jpg
0_44,../new_data/style:america/44.jpg,../new_data/cut_style:america/0_44_E_.jpg,../new_data/cut_style:america/0_44_Q_.jpg
0_45,../new_data/style:america/45.jpg,../new_data/cut_style:america/0_45_E_.jpg,../new_data/cut_style:america/0_45_Q_.jpg
0_46,../new_data/style:america/46.jpg,../new_data/cut_style:america/0_46_E_.jpg,../new_data/cut_style:america/0_46_Q_.jpg
0_47,../new_data/style:america/47.jpg,../new_data/cut_style:america/0_47_E_.jpg,../new_data/cut_style:america/0_47_Q_.jpg
0_48,../new_data/style:america/48.jpg,../new_data/cut_style:america/0_48_E_.jpg,../new_data/cut_style:america/0_48_Q_.jpg
0_49,../new_data/style:america/49.jpg,../new_data/cut_style:america/0_49_E_.jpg,../new_data/cut_style:america/0_49_Q_.jpg
0_50,../new_data/style:america/50.jpg,../new_data/cut_style:america/0_50_E_.jpg,../new_data/cut_style:america/0_50_Q_.jpg
0_51,../new_data/style:america/51.jpg,../new_data/cut_style:america/0_51_E_.jpg,../new_data/cut_style:america/0_51_Q_.jpg
0_52,../new_data/style:america/52.jpg,../new_data/cut_style:america/0_52_E_.jpg,../new_data/cut_style:america/0_52_Q_.jpg
0_53,../new_data/style:america/53.jpg,../new_data/cut_style:america/0_53_E_.jpg,../new_data/cut_style:america/0_53_Q_.jpg
0_56,../new_data/style:america/56.jpg,../new_data/cut_style:america/0_56_E_.jpg,../new_data/cut_style:america/0_56_Q_.jpg
0_57,../new_data/style:america/57.jpg,../new_data/cut_style:america/0_57_E_.jpg,../new_data/cut_style:america/0_57_Q_.jpg
0_59,../new_data/style:america/59.jpg,../new_data/cut_style:america/0_59_E_.jpg,../new_data/cut_style:america/0_59_Q_.jpg
0_60,../new_data/style:america/60.jpg,../new_data/cut_style:america/0_60_E_.jpg,../new_data/cut_style:america/0_60_Q_.jpg
0_62,../new_data/style:america/62.jpg,../new_data/cut_style:america/0_62_E_.jpg,../new_data/cut_style:america/0_62_Q_.jpg
0_63,../new_data/style:america/63.jpg,../new_data/cut_style:america/0_63_E_.jpg,../new_data/cut_style:america/0_63_Q_.jpg
0_64,../new_data/style:america/64.jpg,../new_data/cut_style:america/0_64_E_.jpg,../new_data/cut_style:america/0_64_Q_.jpg
0_65,../new_data/style:america/65.jpg,../new_data/cut_style:america/0_65_E_.jpg,../new_data/cut_style:america/0_65_Q_.jpg
0_67,../new_data/style:america/67.jpg,../new_data/cut_style:america/0_67_E_.jpg,../new_data/cut_style:america/0_67_Q_.jpg
0_68,../new_data/style:america/68.jpg,../new_data/cut_style:america/0_68_E_.jpg,../new_data/cut_style:america/0_68_Q_.jpg
0_70,../new_data/style:america/70.jpg,../new_data/cut_style:america/0_70_E_.jpg,../new_data/cut_style:america/0_70_Q_.jpg
0_72,../new_data/style:america/72.jpg,../new_data/cut_style:america/0_72_E_.jpg,../new_data/cut_style:america/0_72_Q_.jpg
0_73,../new_data/style:america/73.jpg,../new_data/cut_style:america/0_73_E_.jpg,../new_data/cut_style:america/0_73_Q_.jpg
0_74,../new_data/style:america/74.jpg,../new_data/cut_style:america/0_74_E_.jpg,../new_data/cut_style:america/0_74_Q_.jpg
0_75,../new_data/style:america/75.jpg,../new_data/cut_style:america/0_75_E_.jpg,../new_data/cut_style:america/0_75_Q_.jpg
0_76,../new_data/style:america/76.jpg,../new_data/cut_style:america/0_76_E_.jpg,../new_data/cut_style:america/0_76_Q_.jpg
0_77,../new_data/style:america/77.jpg,../new_data/cut_style:america/0_77_E_.jpg,../new_data/cut_style:america/0_77_Q_.jpg
0_78,../new_data/style:america/78.jpg,../new_data/cut_style:america/0_78_E_.jpg,../new_data/cut_style:america/0_78_Q_.jpg
0_79,../new_data/style:america/79.jpg,../new_data/cut_style:america/0_79_E_.jpg,../new_data/cut_style:america/0_79_Q_.jpg
0_80,../new_data/style:america/80.jpg,../new_data/cut_style:america/0_80_E_.jpg,../new_data/cut_style:america/0_80_Q_.jpg
0_82,../new_data/style:america/82.jpg,../new_data/cut_style:america/0_82_E_.jpg,../new_data/cut_style:america/0_82_Q_.jpg
0_83,../new_data/style:america/83.jpg,../new_data/cut_style:america/0_83_E_.jpg,../new_data/cut_style:america/0_83_Q_.jpg
0_85,../new_data/style:america/85.jpg,../new_data/cut_style:america/0_85_E_.jpg,../new_data/cut_style:america/0_85_Q_.jpg
0_86,../new_data/style:america/86.jpg,../new_data/cut_style:america/0_86_E_.jpg,../new_data/cut_style:america/0_86_Q_.jpg
0_87,../new_data/style:america/87.jpg,../new_data/cut_style:america/0_87_E_.jpg,../new_data/cut_style:america/0_87_Q_.jpg
0_88,../new_data/style:america/88.jpg,../new_data/cut_style:america/0_88_E_.jpg,../new_data/cut_style:america/0_88_Q_.jpg
0_91,../new_data/style:america/91.jpg,../new_data/cut_style:america/0_91_E_.jpg,../new_data/cut_style:america/0_91_Q_.jpg
0_92,../new_data/style:america/92.jpg,../new_data/cut_style:america/0_92_E_.jpg,../new_data/cut_style:america/0_92_Q_.jpg
0_94,../new_data/style:america/94.jpg,../new_data/cut_style:america/0_94_E_.jpg,../new_data/cut_style:america/0_94_Q_.jpg
0_95,../new_data/style:america/95.jpg,../new_data/cut_style:america/0_95_E_.jpg,../new_data/cut_style:america/0_95_Q_.jpg
0_96,../new_data/style:america/96.jpg,../new_data/cut_style:america/0_96_E_.jpg,../new_data/cut_style:america/0_96_Q_.jpg
0_99,../new_data/style:america/99.jpg,../new_data/cut_style:america/0_99_E_.jpg,../new_data/cut_style:america/0_99_Q_.jpg
0_100,../new_data/style:america/100.jpg,../new_data/cut_style:america/0_100_E_.jpg,../new_data/cut_style:america/0_100_Q_.jpg
0_101,../new_data/style:america/101.jpg,../new_data/cut_style:america/0_101_E_.jpg,../new_data/cut_style:america/0_101_Q_.jpg
0_103,../new_data/style:america/103.jpg,../new_data/cut_style:america/0_103_E_.jpg,../new_data/cut_style:america/0_103_Q_.jpg
0_104,../new_data/style:america/104.jpg,../new_data/cut_style:america/0_104_E_.jpg,../new_data/cut_style:america/0_104_Q_.jpg
0_105,../new_data/style:america/105.jpg,../new_data/cut_style:america/0_105_E_.jpg,../new_data/cut_style:america/0_105_Q_.jpg
0_106,../new_data/style:america/106.jpg,../new_data/cut_style:america/0_106_E_.jpg,../new_data/cut_style:america/0_106_Q_.jpg
0_107,../new_data/style:america/107.jpg,../new_data/cut_style:america/0_107_E_.jpg,../new_data/cut_style:america/0_107_Q_.jpg
0_109,../new_data/style:america/109.jpg,../new_data/cut_style:america/0_109_E_.jpg,../new_data/cut_style:america/0_109_Q_.jpg
0_110,../new_data/style:america/110.jpg,../new_data/cut_style:america/0_110_E_.jpg,../new_data/cut_style:america/0_110_Q_.jpg
0_111,../new_data/style:america/111.jpg,../new_data/cut_style:america/0_111_E_.jpg,../new_data/cut_style:america/0_111_Q_.jpg
0_112,../new_data/style:america/112.jpg,../new_data/cut_style:america/0_112_E_.jpg,../new_data/cut_style:america/0_112_Q_.jpg
0_113,../new_data/style:america/113.jpg,../new_data/cut_style:america/0_113_E_.jpg,../new_data/cut_style:america/0_113_Q_.jpg
0_114,../new_data/style:america/114.jpg,../new_data/cut_style:america/0_114_E_.jpg,../new_data/cut_style:america/0_114_Q_.jpg
0_115,../new_data/style:america/115.jpg,../new_data/cut_style:america/0_115_E_.jpg,../new_data/cut_style:america/0_115_Q_.jpg
0_116,../new_data/style:america/116.jpg,../new_data/cut_style:america/0_116_E_.jpg,../new_data/cut_style:america/0_116_Q_.jpg
0_117,../new_data/style:america/117.jpg,../new_data/cut_style:america/0_117_E_.jpg,../new_data/cut_style:america/0_117_Q_.jpg
0_118,../new_data/style:america/118.jpg,../new_data/cut_style:america/0_118_E_.jpg,../new_data/cut_style:america/0_118_Q_.jpg
0_119,../new_data/style:america/119.jpg,../new_data/cut_style:america/0_119_E_.jpg,../new_data/cut_style:america/0_119_Q_.jpg
0_120,../new_data/style:america/120.jpg,../new_data/cut_style:america/0_120_E_.jpg,../new_data/cut_style:america/0_120_Q_.jpg
0_123,../new_data/style:america/123.jpg,../new_data/cut_style:america/0_123_E_.jpg,../new_data/cut_style:america/0_123_Q_.jpg
0_125,../new_data/style:america/125.jpg,../new_data/cut_style:america/0_125_E_.jpg,../new_data/cut_style:america/0_125_Q_.jpg
0_127,../new_data/style:america/127.jpg,../new_data/cut_style:america/0_127_E_.jpg,../new_data/cut_style:america/0_127_Q_.jpg
0_128,../new_data/style:america/128.jpg,../new_data/cut_style:america/0_128_E_.jpg,../new_data/cut_style:america/0_128_Q_.jpg
0_131,../new_data/style:america/131.jpg,../new_data/cut_style:america/0_131_E_.jpg,../new_data/cut_style:america/0_131_Q_.jpg
0_133,../new_data/style:america/133.jpg,../new_data/cut_style:america/0_133_E_.jpg,../new_data/cut_style:america/0_133_Q_.jpg
0_134,../new_data/style:america/134.jpg,../new_data/cut_style:america/0_134_E_.jpg,../new_data/cut_style:america/0_134_Q_.jpg
0_135,../new_data/style:america/135.jpg,../new_data/cut_style:america/0_135_E_.jpg,../new_data/cut_style:america/0_135_Q_.jpg
