index,img_path,img_pathE,img_pathQ
1_1,../new_data/style:japan/1.jpg,../new_data/cut_style:japan/1_1_E_.jpg,../new_data/cut_style:japan/1_1_Q_.jpg
1_2,../new_data/style:japan/2.jpg,../new_data/cut_style:japan/1_2_E_.jpg,../new_data/cut_style:japan/1_2_Q_.jpg
1_3,../new_data/style:japan/3.jpg,../new_data/cut_style:japan/1_3_E_.jpg,../new_data/cut_style:japan/1_3_Q_.jpg
1_4,../new_data/style:japan/4.jpg,../new_data/cut_style:japan/1_4_E_.jpg,../new_data/cut_style:japan/1_4_Q_.jpg
1_5,../new_data/style:japan/5.jpg,../new_data/cut_style:japan/1_5_E_.jpg,../new_data/cut_style:japan/1_5_Q_.jpg
1_6,../new_data/style:japan/6.jpg,../new_data/cut_style:japan/1_6_E_.jpg,../new_data/cut_style:japan/1_6_Q_.jpg
1_7,../new_data/style:japan/7.jpg,../new_data/cut_style:japan/1_7_E_.jpg,../new_data/cut_style:japan/1_7_Q_.jpg
1_8,../new_data/style:japan/8.jpg,../new_data/cut_style:japan/1_8_E_.jpg,../new_data/cut_style:japan/1_8_Q_.jpg
1_9,../new_data/style:japan/9.jpg,../new_data/cut_style:japan/1_9_E_.jpg,../new_data/cut_style:japan/1_9_Q_.jpg
1_10,../new_data/style:japan/10.jpg,../new_data/cut_style:japan/1_10_E_.jpg,../new_data/cut_style:japan/1_10_Q_.jpg
1_11,../new_data/style:japan/11.jpg,../new_data/cut_style:japan/1_11_E_.jpg,../new_data/cut_style:japan/1_11_Q_.jpg
1_13,../new_data/style:japan/13.jpg,../new_data/cut_style:japan/1_13_E_.jpg,../new_data/cut_style:japan/1_13_Q_.jpg
1_14,../new_data/style:japan/14.jpg,../new_data/cut_style:japan/1_14_E_.jpg,../new_data/cut_style:japan/1_14_Q_.jpg
1_15,../new_data/style:japan/15.jpg,../new_data/cut_style:japan/1_15_E_.jpg,../new_data/cut_style:japan/1_15_Q_.jpg
