index,img_path,img_pathE,img_pathQ
14_1,../new_data/style:taiwan/1.jpg,../new_data/cut_style:taiwan/14_1_E_.jpg,../new_data/cut_style:taiwan/14_1_Q_.jpg
14_2,../new_data/style:taiwan/2.jpg,../new_data/cut_style:taiwan/14_2_E_.jpg,../new_data/cut_style:taiwan/14_2_Q_.jpg
14_3,../new_data/style:taiwan/3.jpg,../new_data/cut_style:taiwan/14_3_E_.jpg,../new_data/cut_style:taiwan/14_3_Q_.jpg
14_4,../new_data/style:taiwan/4.jpg,../new_data/cut_style:taiwan/14_4_E_.jpg,../new_data/cut_style:taiwan/14_4_Q_.jpg
14_5,../new_data/style:taiwan/5.jpg,../new_data/cut_style:taiwan/14_5_E_.jpg,../new_data/cut_style:taiwan/14_5_Q_.jpg
14_6,../new_data/style:taiwan/6.jpg,../new_data/cut_style:taiwan/14_6_E_.jpg,../new_data/cut_style:taiwan/14_6_Q_.jpg
14_7,../new_data/style:taiwan/7.jpg,../new_data/cut_style:taiwan/14_7_E_.jpg,../new_data/cut_style:taiwan/14_7_Q_.jpg
14_8,../new_data/style:taiwan/8.jpg,../new_data/cut_style:taiwan/14_8_E_.jpg,../new_data/cut_style:taiwan/14_8_Q_.jpg
14_10,../new_data/style:taiwan/10.jpg,../new_data/cut_style:taiwan/14_10_E_.jpg,../new_data/cut_style:taiwan/14_10_Q_.jpg
14_12,../new_data/style:taiwan/12.jpg,../new_data/cut_style:taiwan/14_12_E_.jpg,../new_data/cut_style:taiwan/14_12_Q_.jpg
14_13,../new_data/style:taiwan/13.jpg,../new_data/cut_style:taiwan/14_13_E_.jpg,../new_data/cut_style:taiwan/14_13_Q_.jpg
14_14,../new_data/style:taiwan/14.jpg,../new_data/cut_style:taiwan/14_14_E_.jpg,../new_data/cut_style:taiwan/14_14_Q_.jpg
14_15,../new_data/style:taiwan/15.jpg,../new_data/cut_style:taiwan/14_15_E_.jpg,../new_data/cut_style:taiwan/14_15_Q_.jpg
14_16,../new_data/style:taiwan/16.jpg,../new_data/cut_style:taiwan/14_16_E_.jpg,../new_data/cut_style:taiwan/14_16_Q_.jpg
14_17,../new_data/style:taiwan/17.jpg,../new_data/cut_style:taiwan/14_17_E_.jpg,../new_data/cut_style:taiwan/14_17_Q_.jpg
14_18,../new_data/style:taiwan/18.jpg,../new_data/cut_style:taiwan/14_18_E_.jpg,../new_data/cut_style:taiwan/14_18_Q_.jpg
14_19,../new_data/style:taiwan/19.jpg,../new_data/cut_style:taiwan/14_19_E_.jpg,../new_data/cut_style:taiwan/14_19_Q_.jpg
14_20,../new_data/style:taiwan/20.jpg,../new_data/cut_style:taiwan/14_20_E_.jpg,../new_data/cut_style:taiwan/14_20_Q_.jpg
14_21,../new_data/style:taiwan/21.jpg,../new_data/cut_style:taiwan/14_21_E_.jpg,../new_data/cut_style:taiwan/14_21_Q_.jpg
14_23,../new_data/style:taiwan/23.jpg,../new_data/cut_style:taiwan/14_23_E_.jpg,../new_data/cut_style:taiwan/14_23_Q_.jpg
14_24,../new_data/style:taiwan/24.jpg,../new_data/cut_style:taiwan/14_24_E_.jpg,../new_data/cut_style:taiwan/14_24_Q_.jpg
14_29,../new_data/style:taiwan/29.jpg,../new_data/cut_style:taiwan/14_29_E_.jpg,../new_data/cut_style:taiwan/14_29_Q_.jpg
14_30,../new_data/style:taiwan/30.jpg,../new_data/cut_style:taiwan/14_30_E_.jpg,../new_data/cut_style:taiwan/14_30_Q_.jpg
14_32,../new_data/style:taiwan/32.jpg,../new_data/cut_style:taiwan/14_32_E_.jpg,../new_data/cut_style:taiwan/14_32_Q_.jpg
14_34,../new_data/style:taiwan/34.jpg,../new_data/cut_style:taiwan/14_34_E_.jpg,../new_data/cut_style:taiwan/14_34_Q_.jpg
14_35,../new_data/style:taiwan/35.jpg,../new_data/cut_style:taiwan/14_35_E_.jpg,../new_data/cut_style:taiwan/14_35_Q_.jpg
14_36,../new_data/style:taiwan/36.jpg,../new_data/cut_style:taiwan/14_36_E_.jpg,../new_data/cut_style:taiwan/14_36_Q_.jpg
14_37,../new_data/style:taiwan/37.jpg,../new_data/cut_style:taiwan/14_37_E_.jpg,../new_data/cut_style:taiwan/14_37_Q_.jpg
14_38,../new_data/style:taiwan/38.jpg,../new_data/cut_style:taiwan/14_38_E_.jpg,../new_data/cut_style:taiwan/14_38_Q_.jpg
14_40,../new_data/style:taiwan/40.jpg,../new_data/cut_style:taiwan/14_40_E_.jpg,../new_data/cut_style:taiwan/14_40_Q_.jpg
14_42,../new_data/style:taiwan/42.jpg,../new_data/cut_style:taiwan/14_42_E_.jpg,../new_data/cut_style:taiwan/14_42_Q_.jpg
14_43,../new_data/style:taiwan/43.jpg,../new_data/cut_style:taiwan/14_43_E_.jpg,../new_data/cut_style:taiwan/14_43_Q_.jpg
14_44,../new_data/style:taiwan/44.jpg,../new_data/cut_style:taiwan/14_44_E_.jpg,../new_data/cut_style:taiwan/14_44_Q_.jpg
14_45,../new_data/style:taiwan/45.jpg,../new_data/cut_style:taiwan/14_45_E_.jpg,../new_data/cut_style:taiwan/14_45_Q_.jpg
14_47,../new_data/style:taiwan/47.jpg,../new_data/cut_style:taiwan/14_47_E_.jpg,../new_data/cut_style:taiwan/14_47_Q_.jpg
14_48,../new_data/style:taiwan/48.jpg,../new_data/cut_style:taiwan/14_48_E_.jpg,../new_data/cut_style:taiwan/14_48_Q_.jpg
14_50,../new_data/style:taiwan/50.jpg,../new_data/cut_style:taiwan/14_50_E_.jpg,../new_data/cut_style:taiwan/14_50_Q_.jpg
14_51,../new_data/style:taiwan/51.jpg,../new_data/cut_style:taiwan/14_51_E_.jpg,../new_data/cut_style:taiwan/14_51_Q_.jpg
14_52,../new_data/style:taiwan/52.jpg,../new_data/cut_style:taiwan/14_52_E_.jpg,../new_data/cut_style:taiwan/14_52_Q_.jpg
14_54,../new_data/style:taiwan/54.jpg,../new_data/cut_style:taiwan/14_54_E_.jpg,../new_data/cut_style:taiwan/14_54_Q_.jpg
14_59,../new_data/style:taiwan/59.jpg,../new_data/cut_style:taiwan/14_59_E_.jpg,../new_data/cut_style:taiwan/14_59_Q_.jpg
14_60,../new_data/style:taiwan/60.jpg,../new_data/cut_style:taiwan/14_60_E_.jpg,../new_data/cut_style:taiwan/14_60_Q_.jpg
14_61,../new_data/style:taiwan/61.jpg,../new_data/cut_style:taiwan/14_61_E_.jpg,../new_data/cut_style:taiwan/14_61_Q_.jpg
14_62,../new_data/style:taiwan/62.jpg,../new_data/cut_style:taiwan/14_62_E_.jpg,../new_data/cut_style:taiwan/14_62_Q_.jpg
14_63,../new_data/style:taiwan/63.jpg,../new_data/cut_style:taiwan/14_63_E_.jpg,../new_data/cut_style:taiwan/14_63_Q_.jpg
14_64,../new_data/style:taiwan/64.jpg,../new_data/cut_style:taiwan/14_64_E_.jpg,../new_data/cut_style:taiwan/14_64_Q_.jpg
14_66,../new_data/style:taiwan/66.jpg,../new_data/cut_style:taiwan/14_66_E_.jpg,../new_data/cut_style:taiwan/14_66_Q_.jpg
14_67,../new_data/style:taiwan/67.jpg,../new_data/cut_style:taiwan/14_67_E_.jpg,../new_data/cut_style:taiwan/14_67_Q_.jpg
14_68,../new_data/style:taiwan/68.jpg,../new_data/cut_style:taiwan/14_68_E_.jpg,../new_data/cut_style:taiwan/14_68_Q_.jpg
14_69,../new_data/style:taiwan/69.jpg,../new_data/cut_style:taiwan/14_69_E_.jpg,../new_data/cut_style:taiwan/14_69_Q_.jpg
14_72,../new_data/style:taiwan/72.jpg,../new_data/cut_style:taiwan/14_72_E_.jpg,../new_data/cut_style:taiwan/14_72_Q_.jpg
14_73,../new_data/style:taiwan/73.jpg,../new_data/cut_style:taiwan/14_73_E_.jpg,../new_data/cut_style:taiwan/14_73_Q_.jpg
14_74,../new_data/style:taiwan/74.jpg,../new_data/cut_style:taiwan/14_74_E_.jpg,../new_data/cut_style:taiwan/14_74_Q_.jpg
14_77,../new_data/style:taiwan/77.jpg,../new_data/cut_style:taiwan/14_77_E_.jpg,../new_data/cut_style:taiwan/14_77_Q_.jpg
14_81,../new_data/style:taiwan/81.jpg,../new_data/cut_style:taiwan/14_81_E_.jpg,../new_data/cut_style:taiwan/14_81_Q_.jpg
14_83,../new_data/style:taiwan/83.jpg,../new_data/cut_style:taiwan/14_83_E_.jpg,../new_data/cut_style:taiwan/14_83_Q_.jpg
