index,img_path,img_pathE,img_pathQ
13_6,../new_data/ugly_clothes_pair/6.jpg,../new_data/cut_ugly_clothes_pair/13_6_E_.jpg,../new_data/cut_ugly_clothes_pair/13_6_Q_.jpg
13_14,../new_data/ugly_clothes_pair/14.jpg,../new_data/cut_ugly_clothes_pair/13_14_E_.jpg,../new_data/cut_ugly_clothes_pair/13_14_Q_.jpg
13_15,../new_data/ugly_clothes_pair/15.jpg,../new_data/cut_ugly_clothes_pair/13_15_E_.jpg,../new_data/cut_ugly_clothes_pair/13_15_Q_.jpg
13_18,../new_data/ugly_clothes_pair/18.jpg,../new_data/cut_ugly_clothes_pair/13_18_E_.jpg,../new_data/cut_ugly_clothes_pair/13_18_Q_.jpg
13_25,../new_data/ugly_clothes_pair/25.jpg,../new_data/cut_ugly_clothes_pair/13_25_E_.jpg,../new_data/cut_ugly_clothes_pair/13_25_Q_.jpg
13_29,../new_data/ugly_clothes_pair/29.jpg,../new_data/cut_ugly_clothes_pair/13_29_E_.jpg,../new_data/cut_ugly_clothes_pair/13_29_Q_.jpg
13_30,../new_data/ugly_clothes_pair/30.jpg,../new_data/cut_ugly_clothes_pair/13_30_E_.jpg,../new_data/cut_ugly_clothes_pair/13_30_Q_.jpg
13_31,../new_data/ugly_clothes_pair/31.jpg,../new_data/cut_ugly_clothes_pair/13_31_E_.jpg,../new_data/cut_ugly_clothes_pair/13_31_Q_.jpg
13_32,../new_data/ugly_clothes_pair/32.jpg,../new_data/cut_ugly_clothes_pair/13_32_E_.jpg,../new_data/cut_ugly_clothes_pair/13_32_Q_.jpg
13_36,../new_data/ugly_clothes_pair/36.jpg,../new_data/cut_ugly_clothes_pair/13_36_E_.jpg,../new_data/cut_ugly_clothes_pair/13_36_Q_.jpg
13_37,../new_data/ugly_clothes_pair/37.jpg,../new_data/cut_ugly_clothes_pair/13_37_E_.jpg,../new_data/cut_ugly_clothes_pair/13_37_Q_.jpg
13_39,../new_data/ugly_clothes_pair/39.jpg,../new_data/cut_ugly_clothes_pair/13_39_E_.jpg,../new_data/cut_ugly_clothes_pair/13_39_Q_.jpg
13_49,../new_data/ugly_clothes_pair/49.jpg,../new_data/cut_ugly_clothes_pair/13_49_E_.jpg,../new_data/cut_ugly_clothes_pair/13_49_Q_.jpg
