idxE,idxQ,img_pathE,img_pathQ
0_776_E,1_848_Q,...TYPE0E_PATH/0_776_E,...TYPE1Q_PATH/1_848_Q
0_927_E,2_437_Q,...TYPE0E_PATH/0_927_E,...TYPE2Q_PATH/2_437_Q
0_507_E,1_603_Q,...TYPE0E_PATH/0_507_E,...TYPE1Q_PATH/1_603_Q
0_659_E,2_26_Q,...TYPE0E_PATH/0_659_E,...TYPE2Q_PATH/2_26_Q
0_895_E,1_185_Q,...TYPE0E_PATH/0_895_E,...TYPE1Q_PATH/1_185_Q
0_636_E,2_115_Q,...TYPE0E_PATH/0_636_E,...TYPE2Q_PATH/2_115_Q
0_922_E,1_123_Q,...TYPE0E_PATH/0_922_E,...TYPE1Q_PATH/1_123_Q
0_98_E,2_621_Q,...TYPE0E_PATH/0_98_E,...TYPE2Q_PATH/2_621_Q
0_33_E,1_194_Q,...TYPE0E_PATH/0_33_E,...TYPE1Q_PATH/1_194_Q
0_337_E,2_767_Q,...TYPE0E_PATH/0_337_E,...TYPE2Q_PATH/2_767_Q
0_483_E,1_218_Q,...TYPE0E_PATH/0_483_E,...TYPE1Q_PATH/1_218_Q
0_12_E,2_742_Q,...TYPE0E_PATH/0_12_E,...TYPE2Q_PATH/2_742_Q
0_85_E,1_801_Q,...TYPE0E_PATH/0_85_E,...TYPE1Q_PATH/1_801_Q
0_684_E,2_206_Q,...TYPE0E_PATH/0_684_E,...TYPE2Q_PATH/2_206_Q
0_750_E,1_851_Q,...TYPE0E_PATH/0_750_E,...TYPE1Q_PATH/1_851_Q
0_116_E,2_668_Q,...TYPE0E_PATH/0_116_E,...TYPE2Q_PATH/2_668_Q
0_354_E,1_871_Q,...TYPE0E_PATH/0_354_E,...TYPE1Q_PATH/1_871_Q
0_446_E,2_991_Q,...TYPE0E_PATH/0_446_E,...TYPE2Q_PATH/2_991_Q
0_523_E,1_505_Q,...TYPE0E_PATH/0_523_E,...TYPE1Q_PATH/1_505_Q
0_407_E,2_127_Q,...TYPE0E_PATH/0_407_E,...TYPE2Q_PATH/2_127_Q
0_184_E,1_551_Q,...TYPE0E_PATH/0_184_E,...TYPE1Q_PATH/1_551_Q
0_815_E,2_557_Q,...TYPE0E_PATH/0_815_E,...TYPE2Q_PATH/2_557_Q
0_809_E,1_873_Q,...TYPE0E_PATH/0_809_E,...TYPE1Q_PATH/1_873_Q
0_312_E,2_392_Q,...TYPE0E_PATH/0_312_E,...TYPE2Q_PATH/2_392_Q
0_418_E,1_11_Q,...TYPE0E_PATH/0_418_E,...TYPE1Q_PATH/1_11_Q
0_358_E,2_940_Q,...TYPE0E_PATH/0_358_E,...TYPE2Q_PATH/2_940_Q
0_615_E,1_694_Q,...TYPE0E_PATH/0_615_E,...TYPE1Q_PATH/1_694_Q
0_471_E,2_53_Q,...TYPE0E_PATH/0_471_E,...TYPE2Q_PATH/2_53_Q
0_682_E,1_426_Q,...TYPE0E_PATH/0_682_E,...TYPE1Q_PATH/1_426_Q
0_204_E,2_867_Q,...TYPE0E_PATH/0_204_E,...TYPE2Q_PATH/2_867_Q
0_501_E,1_810_Q,...TYPE0E_PATH/0_501_E,...TYPE1Q_PATH/1_810_Q
0_227_E,2_761_Q,...TYPE0E_PATH/0_227_E,...TYPE2Q_PATH/2_761_Q
0_760_E,1_650_Q,...TYPE0E_PATH/0_760_E,...TYPE1Q_PATH/1_650_Q
0_481_E,2_345_Q,...TYPE0E_PATH/0_481_E,...TYPE2Q_PATH/2_345_Q
0_49_E,1_948_Q,...TYPE0E_PATH/0_49_E,...TYPE1Q_PATH/1_948_Q
0_39_E,2_452_Q,...TYPE0E_PATH/0_39_E,...TYPE2Q_PATH/2_452_Q
0_732_E,1_309_Q,...TYPE0E_PATH/0_732_E,...TYPE1Q_PATH/1_309_Q
0_391_E,2_10_Q,...TYPE0E_PATH/0_391_E,...TYPE2Q_PATH/2_10_Q
0_336_E,1_381_Q,...TYPE0E_PATH/0_336_E,...TYPE1Q_PATH/1_381_Q
0_110_E,2_411_Q,...TYPE0E_PATH/0_110_E,...TYPE2Q_PATH/2_411_Q
0_450_E,1_124_Q,...TYPE0E_PATH/0_450_E,...TYPE1Q_PATH/1_124_Q
0_832_E,2_333_Q,...TYPE0E_PATH/0_832_E,...TYPE2Q_PATH/2_333_Q
0_790_E,1_286_Q,...TYPE0E_PATH/0_790_E,...TYPE1Q_PATH/1_286_Q
0_812_E,2_213_Q,...TYPE0E_PATH/0_812_E,...TYPE2Q_PATH/2_213_Q
0_350_E,1_451_Q,...TYPE0E_PATH/0_350_E,...TYPE1Q_PATH/1_451_Q
0_962_E,2_778_Q,...TYPE0E_PATH/0_962_E,...TYPE2Q_PATH/2_778_Q
0_467_E,1_604_Q,...TYPE0E_PATH/0_467_E,...TYPE1Q_PATH/1_604_Q
0_421_E,2_755_Q,...TYPE0E_PATH/0_421_E,...TYPE2Q_PATH/2_755_Q
0_622_E,1_586_Q,...TYPE0E_PATH/0_622_E,...TYPE1Q_PATH/1_586_Q
0_340_E,2_495_Q,...TYPE0E_PATH/0_340_E,...TYPE2Q_PATH/2_495_Q
0_476_E,1_492_Q,...TYPE0E_PATH/0_476_E,...TYPE1Q_PATH/1_492_Q
0_183_E,2_34_Q,...TYPE0E_PATH/0_183_E,...TYPE2Q_PATH/2_34_Q
0_614_E,1_674_Q,...TYPE0E_PATH/0_614_E,...TYPE1Q_PATH/1_674_Q
0_997_E,2_990_Q,...TYPE0E_PATH/0_997_E,...TYPE2Q_PATH/2_990_Q
0_554_E,1_840_Q,...TYPE0E_PATH/0_554_E,...TYPE1Q_PATH/1_840_Q
0_422_E,2_286_Q,...TYPE0E_PATH/0_422_E,...TYPE2Q_PATH/2_286_Q
0_365_E,1_215_Q,...TYPE0E_PATH/0_365_E,...TYPE1Q_PATH/1_215_Q
0_181_E,2_194_Q,...TYPE0E_PATH/0_181_E,...TYPE2Q_PATH/2_194_Q
0_770_E,1_357_Q,...TYPE0E_PATH/0_770_E,...TYPE1Q_PATH/1_357_Q
0_904_E,2_440_Q,...TYPE0E_PATH/0_904_E,...TYPE2Q_PATH/2_440_Q
0_630_E,1_592_Q,...TYPE0E_PATH/0_630_E,...TYPE1Q_PATH/1_592_Q
0_861_E,2_832_Q,...TYPE0E_PATH/0_861_E,...TYPE2Q_PATH/2_832_Q
0_940_E,1_283_Q,...TYPE0E_PATH/0_940_E,...TYPE1Q_PATH/1_283_Q
